Player,Tm,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,Year,Player ID,Cluster,Team Cluster
Norris Cole,OKC,125,5.4,0.381,0.25,0.192,0,9.8,4.9,16.3,3.1,0,11,21.5,-0.2,0.2,-0.033,-6.5,-1.7,-8.2,-0.2,2017,Norris ColeOKC2017.0,6,4
Darren Collison,SAC,2063,15.3,0.57,0.245,0.239,1.3,7.1,4.3,24.5,1.6,0.4,12.6,19.8,3.1,0.8,0.091,0.8,-2.3,-1.5,0.3,2017,Darren CollisonSAC2017.0,4,4
Nick Collison,OKC,128,12.9,0.622,0.043,0.348,7.8,19.1,13.4,13.2,0.8,1.2,13.1,10.1,0.3,0.1,0.145,-1.8,0,-1.8,0,2017,Nick CollisonOKC2017.0,5,4
Mike Conley,MEM,2292,23.2,0.604,0.415,0.365,1.5,10.8,6,34.5,2.1,0.8,11.8,26.3,7.5,2.5,0.209,6.5,-0.8,5.7,4.5,2017,Mike ConleyMEM2017.0,8,4
Pat Connaughton,POR,316,11.8,0.645,0.458,0.125,3.5,14.8,9.1,12.7,0.9,0.5,18.3,13,0.4,0.2,0.09,-0.9,-1.6,-2.5,0,2017,Pat ConnaughtonPOR2017.0,1,4
DeMarcus Cousins,SAC,1891,26.5,0.562,0.239,0.491,7.1,28.3,17.8,27.4,2,3.6,13.2,37.5,3.4,2.6,0.153,4.5,2.6,7.1,4.3,2017,DeMarcus CousinsSAC2017.0,8,4
DeMarcus Cousins,NOP,574,23.2,0.564,0.306,0.385,6.8,32.2,19.4,20.6,2.1,2.7,14.4,33.1,0.5,1.1,0.136,2,2.8,4.8,1,2017,DeMarcus CousinsNOP2017.0,2,4
Robert Covington,PHI,2119,13.2,0.534,0.563,0.238,4.8,17.9,11.3,7.5,2.9,2.6,13.9,19.2,0,3.2,0.071,-0.7,2,1.4,1.8,2017,Robert CovingtonPHI2017.0,0,4
Allen Crabbe,POR,2254,11.6,0.602,0.467,0.192,0.9,10.2,5.6,6.1,1.2,0.7,8.1,14.9,3.1,1,0.089,0.3,-1.3,-1,0.6,2017,Allen CrabbePOR2017.0,1,4
Jamal Crawford,LAC,2157,12,0.525,0.37,0.233,0.9,5.7,3.3,15.2,1.4,0.5,12.3,22.7,0.5,1.4,0.043,-1,-2.1,-3,-0.6,2017,Jamal CrawfordLAC2017.0,1,4
